p1.cpfCnpj,p2.cpfCnpj,frequency
04654716000163,05449553000140,37
05449553000140,04654716000163,37
04654716000163,24116337000127,30
24116337000127,04654716000163,30
10365996000192,00879316000103,23
00879316000103,10365996000192,23
04826424000160,10365996000192,23
10365996000192,04826424000160,23
12711139000122,04654716000163,22
04654716000163,12711139000122,22
24116337000127,05449553000140,21
05449553000140,24116337000127,21
41205907000174,04654716000163,20
04826424000160,00879316000103,20
04654716000163,41205907000174,20
00879316000103,04826424000160,20
09183224000150,04654716000163,19
04654716000163,09183224000150,19
40787152000109,10831701000126,19
10831701000126,40787152000109,19
05449553000140,41205907000174,18
05449553000140,07354656000151,18
03160525000182,24506743000104,18
05449553000140,12711139000122,18
41205907000174,24116337000127,18
07354656000151,05449553000140,18
41205907000174,05449553000140,18
24506743000104,03160525000182,18
24116337000127,41205907000174,18
12711139000122,05449553000140,18
04654716000163,35423169000139,17
04654716000163,11336916000133,17
41205907000174,07354656000151,17
24116337000127,07354656000151,17
07354656000151,41205907000174,17
05393059000100,04826424000160,17
11336916000133,04654716000163,17
04826424000160,05393059000100,17
07354656000151,24116337000127,17
35423169000139,04654716000163,17
12711139000122,24116337000127,16
10291098000137,07766436000135,16
07766436000135,10291098000137,16
24116337000127,12711139000122,16
09183224000150,05449553000140,16
05449553000140,09183224000150,16
09685217000157,00301402000126,15
09685217000157,03160525000182,15
24116337000127,11336916000133,15
00301402000126,09685217000157,15
07354656000151,04654716000163,15
07227808000155,17318988000134,15
17318988000134,07227808000155,15
04654716000163,07227808000155,15
03160525000182,09685217000157,15
04654716000163,07354656000151,15
00301402000126,24506743000104,15
24506743000104,09685217000157,15
09685217000157,24506743000104,15
24506743000104,00301402000126,15
41205907000174,35423169000139,15
05449553000140,11336916000133,15
07227808000155,04654716000163,15
00301402000126,03160525000182,15
11336916000133,24116337000127,15
35423169000139,41205907000174,15
03160525000182,00301402000126,15
11336916000133,05449553000140,15
07354656000151,11336916000133,14
11336916000133,07354656000151,14
24116337000127,35423169000139,14
02368789000163,24506743000104,14
35423169000139,24116337000127,14
24506743000104,02368789000163,14
70097530000185,10831701000126,14
10831701000126,70097530000185,14
07543314000180,41205907000174,13
02368789000163,00301402000126,13
09004901000126,01823326000181,13
11336916000133,12711139000122,13
04453838000191,07227808000155,13
01823326000181,09004901000126,13
17318988000134,04453838000191,13
07354656000151,12711139000122,13
05449553000140,07227808000155,13
11336916000133,41205907000174,13
07227808000155,05449553000140,13
04453838000191,17318988000134,13
41205907000174,07543314000180,13
07227808000155,04453838000191,13
12711139000122,07354656000151,13
09685217000157,02368789000163,13
00301402000126,02368789000163,13
02368789000163,09685217000157,13
41205907000174,11336916000133,13
03160525000182,02368789000163,13
02368789000163,03160525000182,13
12711139000122,11336916000133,13
00085822000112,01722296000117,12
24116337000127,07543314000180,12
10831701000126,10806118000165,12
01722296000117,00085822000112,12
06948769000112,01884446000199,12
07354656000151,07543314000180,12
10806118000165,10831701000126,12
07543314000180,07354656000151,12
07543314000180,24116337000127,12
01884446000199,06948769000112,12
07543314000180,12711139000122,11
07543314000180,11336916000133,11
09183224000150,07227808000155,11
35423169000139,09183224000150,11
07227808000155,35423169000139,11
35423169000139,05449553000140,11
05449553000140,17318988000134,11
01722296000117,40787152000109,11
17318988000134,05449553000140,11
15348142000111,00879316000103,11
41205907000174,12711139000122,11
00879316000103,15348142000111,11
35423169000139,07227808000155,11
15348142000111,10365996000192,11
04654716000163,07543314000180,11
06224321000156,40787152000109,11
07543314000180,04654716000163,11
10564673000128,17512503000149,11
10365996000192,15348142000111,11
08370039000102,07227808000155,11
09183224000150,35423169000139,11
07227808000155,09183224000150,11
12711139000122,07543314000180,11
11336916000133,07543314000180,11
40787152000109,06224321000156,11
05449553000140,35423169000139,11
40787152000109,01722296000117,11
07227808000155,08370039000102,11
12711139000122,41205907000174,11
17512503000149,10564673000128,11
04826424000160,15348142000111,10
24506743000104,02927946000123,10
05449553000140,03330023000152,10
02927946000123,24506743000104,10
41205907000174,09183224000150,10
17318988000134,04654716000163,10
05393059000100,10365996000192,10
10365996000192,05393059000100,10
07354656000151,35423169000139,10
01722296000117,06224321000156,10
06224321000156,01722296000117,10
40787152000109,63478895000194,10
17020542000129,04453838000191,10
03330023000152,05449553000140,10
09183224000150,41205907000174,10
63478895000194,40787152000109,10
15348142000111,04826424000160,10
04453838000191,17020542000129,10
04654716000163,17318988000134,10
35423169000139,07354656000151,10
17318988000134,17020542000129,9
17020542000129,17318988000134,9
35534205000131,07413671000123,9
10575163000156,05449553000140,9
70097530000185,10806118000165,9
01091310000121,16515252000193,9
04453838000191,08370039000102,9
05449553000140,10575163000156,9
10365996000192,13199098000108,9
05449553000140,09376159000180,9
10575163000156,09183224000150,9
10806118000165,70097530000185,9
17020542000129,03160525000182,9
09376159000180,12711139000122,9
16515252000193,01091310000121,9
35423169000139,07543314000180,9
12711139000122,09376159000180,9
10831701000126,15218561000139,9
07543314000180,05449553000140,9
02927946000123,03160525000182,9
00301402000126,02927946000123,9
06224321000156,63478895000194,9
03330023000152,04654716000163,9
00085822000112,06224321000156,9
03160525000182,02927946000123,9
15218561000139,10831701000126,9
09376159000180,07354656000151,9
06224321000156,00085822000112,9
41205907000174,03330023000152,9
07543314000180,35423169000139,9
07354656000151,09376159000180,9
03330023000152,41205907000174,9
02927946000123,00301402000126,9
08370039000102,04453838000191,9
35423169000139,12711139000122,9
07413671000123,35534205000131,9
12711139000122,35423169000139,9
10365996000192,07190090000170,9
04654716000163,03330023000152,9
13199098000108,10365996000192,9
09376159000180,05449553000140,9
09183224000150,10575163000156,9
07190090000170,10365996000192,9
01722296000117,06948769000112,9
41205907000174,09376159000180,9
03160525000182,17020542000129,9
05449553000140,07543314000180,9
09376159000180,41205907000174,9
63478895000194,06224321000156,9
06948769000112,01722296000117,9
04453838000191,24506743000104,8
17020542000129,09685217000157,8
07694009000270,04453838000191,8
09685217000157,00821449000110,8
11079047000109,17318988000134,8
09685217000157,02927946000123,8
08649539000188,17020542000129,8
09183224000150,24116337000127,8
17020542000129,07694009000270,8
07694009000270,17020542000129,8
03160525000182,00821449000110,8
11079047000109,04453838000191,8
04654716000163,11715833000155,8
06234797000178,70097530000185,8
06224321000156,10831701000126,8
24506743000104,04453838000191,8
09685217000157,17020542000129,8
24116337000127,09183224000150,8
10365996000192,03100722000106,8
17318988000134,08370039000102,8
00301402000126,00821449000110,8
02301135000112,08599778000170,8
04453838000191,07694009000270,8
09376159000180,11336916000133,8
09376159000180,24116337000127,8
09685217000157,04453838000191,8
09376159000180,07543314000180,8
17020542000129,08649539000188,8
04654716000163,10575163000156,8
10575163000156,04654716000163,8
40787152000109,10806118000165,8
00085822000112,06948769000112,8
08599778000170,02301135000112,8
11336916000133,09376159000180,8
40787152000109,10779833000156,8
11715833000155,04654716000163,8
00879316000103,13199098000108,8
70097530000185,06234797000178,8
08370039000102,17318988000134,8
17318988000134,11079047000109,8
10831701000126,06224321000156,8
10806118000165,40787152000109,8
04453838000191,11079047000109,8
02927946000123,09685217000157,8
24116337000127,09376159000180,8
06948769000112,00085822000112,8
10779833000156,40787152000109,8
70097530000185,40787152000109,8
00821449000110,09685217000157,8
03100722000106,10365996000192,8
06948769000112,02975570000122,8
00821449000110,03160525000182,8
02975570000122,06948769000112,8
13199098000108,00879316000103,8
00821449000110,00301402000126,8
04453838000191,09685217000157,8
40787152000109,70097530000185,8
07543314000180,09376159000180,8
24506743000104,07227808000155,7
17020542000129,00301402000126,7
11208403000147,09183224000150,7
11896538000142,00085822000112,7
11336916000133,35423169000139,7
09183224000150,12711139000122,7
40787152000109,03817043000152,7
07227808000155,17020542000129,7
05008240000156,40787152000109,7
35423169000139,11336916000133,7
01789822000166,04826424000160,7
04826424000160,01789822000166,7
24116337000127,18604768000130,7
05765913000112,07841319000199,7
03817043000152,40787152000109,7
63478895000194,07936090000176,7
09685217000157,17318988000134,7
00821449000110,24506743000104,7
17318988000134,07526979000185,7
07227808000155,41205907000174,7
24506743000104,00821449000110,7
04679119000193,16826043000160,7
00301402000126,04453838000191,7
02977362000162,10831701000126,7
07358710000137,04826424000160,7
02977362000162,40787152000109,7
04453838000191,00301402000126,7
07526979000185,04453838000191,7
01722296000117,05932624000160,7
04654716000163,16693935000130,7
41205907000174,07227808000155,7
12711139000122,09183224000150,7
06948769000112,05932624000160,7
01722296000117,08778201000126,7
07227808000155,24506743000104,7
04826424000160,13199098000108,7
40787152000109,05008240000156,7
03160525000182,04453838000191,7
18604768000130,24116337000127,7
02368789000163,04453838000191,7
07841319000199,05765913000112,7
11208403000147,04654716000163,7
05932624000160,06948769000112,7
04453838000191,07526979000185,7
05932624000160,01722296000117,7
08778201000126,01722296000117,7
10831701000126,02977362000162,7
04453838000191,02368789000163,7
17020542000129,02368789000163,7
17020542000129,24506743000104,7
16693935000130,04654716000163,7
04654716000163,11208403000147,7
01823326000181,14466615000112,7
02368789000163,17020542000129,7
40787152000109,02977362000162,7
04826424000160,07358710000137,7
07526979000185,17318988000134,7
09183224000150,11208403000147,7
09053134000145,01722296000117,7
09376159000180,04654716000163,7
17020542000129,07227808000155,7
04654716000163,09376159000180,7
24506743000104,17020542000129,7
13199098000108,04826424000160,7
17318988000134,09685217000157,7
04453838000191,03160525000182,7
07936090000176,63478895000194,7
16826043000160,04679119000193,7
14466615000112,01823326000181,7
01486101000772,70097530000185,7
00301402000126,17020542000129,7
01722296000117,09053134000145,7
00085822000112,11896538000142,7
70097530000185,01486101000772,7
03100722000106,00879316000103,6
17318988000134,03160525000182,6
10779833000156,01722296000117,6
09685217000157,07227808000155,6
10564673000128,11807734000101,6
04453838000191,05449553000140,6
63478895000194,03817043000152,6
09912207000107,08370039000102,6
05393059000100,05253747000175,6
10806118000165,63478895000194,6
24506743000104,06229829000147,6
10779833000156,10831701000126,6
06229829000147,24506743000104,6
07936090000176,09478023000180,6
08228010000190,05138559000104,6
11427407000116,08321484000182,6
11574829000114,36377091000126,6
04408503000151,02368789000163,6
02368789000163,17318988000134,6
24506743000104,17318988000134,6
05449553000140,16693935000130,6
10365996000192,04034176000115,6
07526979000185,24506743000104,6
03330023000152,35423169000139,6
08370039000102,11079047000109,6
07354656000151,09183224000150,6
14628421000176,01823326000181,6
09183224000150,11336916000133,6
17318988000134,00301402000126,6
04408503000151,00301402000126,6
09685217000157,04408503000151,6
