p1.cpfCnpj,p2.cpfCnpj,frequency
08370039000102,17020542000129,6
11208403000147,07227808000155,6
11896538000142,01722296000117,6
09685217000157,08649539000188,6
12711139000122,17318988000134,6
17512503000149,11807734000101,6
63478895000194,09478023000180,6
07227808000155,09685217000157,6
01722296000117,11896538000142,6
00821449000110,02927946000123,6
08778201000126,40787152000109,6
06234797000178,10831701000126,6
07526979000185,07227808000155,6
03330023000152,24116337000127,6
16693935000130,05449553000140,6
09478023000180,04064641000160,6
05253747000175,05393059000100,6
00301402000126,17318988000134,6
40787152000109,08778201000126,6
04275808000132,06948769000112,6
05393059000100,00879316000103,6
08321484000182,11427407000116,6
11622715000100,03086586000147,6
41205907000174,10575163000156,6
09478023000180,07936090000176,6
01722296000117,44734671000151,6
07227808000155,11079047000109,6
01722296000117,10779833000156,6
12711139000122,03330023000152,6
07227808000155,03160525000182,6
35423169000139,09376159000180,6
11208403000147,05449553000140,6
63478895000194,04064641000160,6
03160525000182,07227808000155,6
10831701000126,63478895000194,6
40787152000109,44734671000151,6
03160525000182,17318988000134,6
04826424000160,04034176000115,6
00879316000103,17892706000108,6
05449553000140,11208403000147,6
11079047000109,08370039000102,6
11336916000133,03330023000152,6
04064641000160,63478895000194,6
01884446000199,02975570000122,6
03160525000182,08649539000188,6
05449553000140,04453838000191,6
24506743000104,04408503000151,6
07526979000185,03160525000182,6
10831701000126,06234797000178,6
09376159000180,35423169000139,6
08649539000188,09685217000157,6
07227808000155,07526979000185,6
17318988000134,02368789000163,6
06224321000156,70097530000185,6
10779833000156,05932624000160,6
11079047000109,07227808000155,6
00085822000112,08778201000126,6
17020542000129,08370039000102,6
06948769000112,06224321000156,6
00879316000103,05393059000100,6
17318988000134,24506743000104,6
02927946000123,00821449000110,6
03330023000152,07354656000151,6
05765913000112,04826424000160,6
08778201000126,00085822000112,6
04826424000160,05765913000112,6
03817043000152,63478895000194,6
06229829000147,03160525000182,6
04408503000151,09685217000157,6
04034176000115,10365996000192,6
04408503000151,03160525000182,6
04064641000160,09478023000180,6
63478895000194,10806118000165,6
03330023000152,12711139000122,6
07354656000151,03330023000152,6
08649539000188,03160525000182,6
06948769000112,04275808000132,6
04453838000191,08649539000188,6
10291098000137,03255805000174,6
06224321000156,06948769000112,6
07227808000155,11208403000147,6
17892706000108,00879316000103,6
00879316000103,03100722000106,6
02368789000163,02927946000123,6
02956500000127,07526979000185,6
24116337000127,03330023000152,6
03330023000152,11336916000133,6
35423169000139,03330023000152,6
02975570000122,01884446000199,6
03086586000147,11622715000100,6
04203988000147,13416446000143,6
36377091000126,11574829000114,6
09478023000180,63478895000194,6
44734671000151,01722296000117,6
04408503000151,24506743000104,6
10575163000156,41205907000174,6
11807734000101,17512503000149,6
11807734000101,10564673000128,6
04034176000115,04826424000160,6
10831701000126,10779833000156,6
03160525000182,04408503000151,6
08649539000188,04453838000191,6
44734671000151,40787152000109,6
24506743000104,07526979000185,6
03160525000182,06229829000147,6
11336916000133,09183224000150,6
08370039000102,05449553000140,6
07526979000185,02956500000127,6
13416446000143,04203988000147,6
05932624000160,10779833000156,6
05449553000140,08370039000102,6
00301402000126,04408503000151,6
02927946000123,02368789000163,6
01823326000181,14628421000176,6
17318988000134,12711139000122,6
70097530000185,06224321000156,6
17512503000149,10291098000137,6
10291098000137,17512503000149,6
08370039000102,09912207000107,6
63478895000194,10831701000126,6
05138559000104,08228010000190,6
09183224000150,07354656000151,6
02368789000163,04408503000151,6
03160525000182,07526979000185,6
03255805000174,10291098000137,6
17020542000129,02956500000127,5
07227808000155,10575163000156,5
07227808000155,06265304000167,5
03100722000106,04826424000160,5
09685217000157,11079047000109,5
09685217000157,07526979000185,5
07694009000270,24506743000104,5
00301402000126,07694009000270,5
04826424000160,03100722000106,5
10575163000156,11208403000147,5
06224321000156,10806118000165,5
03100722000106,15348142000111,5
02368789000163,06229829000147,5
08370039000102,07694009000270,5
10204697000176,10291098000137,5
40869463000109,11574829000114,5
03781718000150,05301712000164,5
10575163000156,07227808000155,5
03160525000182,08370039000102,5
06229829000147,02368789000163,5
03330023000152,09376159000180,5
00879316000103,18658386000199,5
07766436000135,10204697000176,5
07694009000270,09685217000157,5
07190090000170,00879316000103,5
00301402000126,06229829000147,5
06948769000112,10779833000156,5
05765913000112,05449553000140,5
11896538000142,44734671000151,5
09685217000157,07694009000270,5
08778201000126,06628333000146,5
36377091000126,40869463000109,5
02368789000163,00821449000110,5
07227808000155,00301402000126,5
02956500000127,17020542000129,5
40787152000109,04064641000160,5
07543314000180,09183224000150,5
09685217000157,02304035000140,5
03466743000140,11572614000164,5
00085822000112,44734671000151,5
13416446000143,01752306000167,5
04829970000155,13416446000143,5
03330023000152,09183224000150,5
07694009000270,17318988000134,5
12209627000136,10291098000137,5
01752306000167,13416446000143,5
41152398000169,11574829000114,5
16826043000160,09478023000180,5
02956500000127,04453838000191,5
00821449000110,02368789000163,5
17318988000134,08649539000188,5
11079047000109,07694009000270,5
10779833000156,06948769000112,5
00085822000112,09053134000145,5
24116337000127,07227808000155,5
17318988000134,02304035000140,5
04203988000147,01752306000167,5
06948769000112,70097530000185,5
09053134000145,00085822000112,5
04826424000160,17892706000108,5
40869463000109,36377091000126,5
04453838000191,02956500000127,5
08370039000102,09685217000157,5
01091310000121,12889652000108,5
05301712000164,03781718000150,5
06265304000167,07227808000155,5
11572614000164,03466743000140,5
10291098000137,12209627000136,5
07936090000176,40787152000109,5
08778201000126,44734671000151,5
00301402000126,07227808000155,5
05393059000100,05765913000112,5
08649539000188,02304035000140,5
04602789000101,24504409000103,5
07358710000137,10365996000192,5
70097530000185,02977362000162,5
11896538000142,40787152000109,5
11572614000164,18585911000193,5
15155318000119,08370039000102,5
09685217000157,08370039000102,5
01789822000166,05393059000100,5
09685217000157,06229829000147,5
13199098000108,07190090000170,5
07526979000185,17020542000129,5
07526979000185,09685217000157,5
07694009000270,00301402000126,5
08649539000188,02368789000163,5
15155318000119,04453838000191,5
03160525000182,07694009000270,5
12889652000108,01091310000121,5
03160525000182,02304035000140,5
04064641000160,10806118000165,5
24506743000104,08649539000188,5
11079047000109,09685217000157,5
11574829000114,40869463000109,5
08370039000102,14628421000176,5
02977362000162,70097530000185,5
08370039000102,03160525000182,5
11079047000109,00301402000126,5
05449553000140,09268680000101,5
07694009000270,07227808000155,5
00301402000126,08649539000188,5
44734671000151,11896538000142,5
10204697000176,07766436000135,5
40787152000109,67729178000491,5
01722296000117,12040718000190,5
15348142000111,03100722000106,5
04453838000191,15155318000119,5
11079047000109,17020542000129,5
09268680000101,05449553000140,5
10806118000165,04064641000160,5
24506743000104,07694009000270,5
40787152000109,04099366000110,5
07694009000270,11079047000109,5
08649539000188,17318988000134,5
17020542000129,07526979000185,5
09912207000107,07526979000185,5
17318988000134,16693935000130,5
40787152000109,07936090000176,5
00879316000103,07190090000170,5
15033987000118,01823326000181,5
40787152000109,11896538000142,5
12040718000190,01722296000117,5
05765913000112,05393059000100,5
10676491000149,10291098000137,5
07694009000270,03160525000182,5
67729178000491,40787152000109,5
13416446000143,04829970000155,5
08649539000188,00301402000126,5
06229829000147,09685217000157,5
04099366000110,40787152000109,5
05765913000112,10365996000192,5
06229829000147,00301402000126,5
10365996000192,05765913000112,5
63478895000194,70097530000185,5
04064641000160,40787152000109,5
09376159000180,03330023000152,5
18658386000199,00879316000103,5
44734671000151,05782733000149,5
18585911000193,11572614000164,5
14628421000176,08370039000102,5
07190090000170,13199098000108,5
01823326000181,15033987000118,5
08649539000188,08370039000102,5
07526979000185,09912207000107,5
15610424000145,10291098000137,5
06628333000146,08778201000126,5
05449553000140,05765913000112,5
17020542000129,02304035000140,5
09183224000150,03330023000152,5
07543314000180,03330023000152,5
07227808000155,07694009000270,5
08649539000188,24506743000104,5
02304035000140,09685217000157,5
10291098000137,10676491000149,5
10806118000165,06224321000156,5
24504409000103,04602789000101,5
44734671000151,00085822000112,5
09478023000180,16826043000160,5
07227808000155,24116337000127,5
70097530000185,63478895000194,5
03466743000140,18585911000193,5
44734671000151,08778201000126,5
09183224000150,07543314000180,5
07227808000155,02368789000163,5
18585911000193,03466743000140,5
17227485000153,40787152000109,5
40787152000109,17227485000153,5
10291098000137,10204697000176,5
02368789000163,07227808000155,5
08370039000102,08649539000188,5
17020542000129,11079047000109,5
10365996000192,07358710000137,5
02304035000140,17318988000134,5
09384762000103,02301135000112,5
05782733000149,44734671000151,5
11208403000147,10575163000156,5
11574829000114,41152398000169,5
07694009000270,08370039000102,5
02304035000140,17020542000129,5
70097530000185,06948769000112,5
01752306000167,04203988000147,5
02304035000140,08649539000188,5
00301402000126,11079047000109,5
10291098000137,15610424000145,5
16693935000130,17318988000134,5
17892706000108,04826424000160,5
05393059000100,01789822000166,5
02301135000112,09384762000103,5
02368789000163,08649539000188,5
02304035000140,03160525000182,5
03330023000152,07543314000180,5
08370039000102,15155318000119,5
17318988000134,07694009000270,5
16417577000133,05449553000140,4
11392682000141,06948769000112,4
34028316366353,33000118001221,4
09095183000140,00000000009903,4
09123654000187,01518579000141,4
10831701000126,11896538000142,4
01884446000199,13441051000109,4
08649539000188,02956500000127,4
11079047000109,03160525000182,4
05000571000140,05896491000114,4
41205907000174,07070151000165,4
05393059000100,15348142000111,4
02977362000162,06224321000156,4
10676491000149,07766436000135,4
06224321000156,04064641000160,4
01789822000166,05765913000112,4
07070151000165,10575163000156,4
01789822000166,07358710000137,4
04485495000147,07526979000185,4
63478895000194,06628333000146,4
00000000009903,09123654000187,4
11028345000170,05449553000140,4
03330023000152,05138559000104,4
10779833000156,54858014000170,4
04826424000160,05253747000175,4
01518579000141,09123654000187,4
03086586000147,12209627000136,4
34028316366353,00000000009903,4
08370039000102,07526979000185,4
40787152000109,00995371000150,4
09095183000140,33530486003225,4
10554743000167,40787152000109,4
09185570000178,09685217000157,4
10779833000156,06207441000145,4
10309248000192,14564472000181,4
24116337000127,06265304000167,4
06027925001001,05449553000140,4
03160525000182,11079047000109,4
32040529000125,40869463000109,4
33066408080801,00000000009903,4
07358710000137,00879316000103,4
05896491000114,05000571000140,4
05393059000100,13199098000108,4
00000000009903,04196645000100,4
10831701000126,08160290000142,4
10655938000101,05449553000140,4
05000571000140,10779833000156,4
07354656000151,13433905000105,4
05765913000112,24504409000103,4
20812326000120,08778201000126,4
34028316366353,04196645000100,4
09004901000126,07880044000100,4
13501014000130,10213388000162,4
63478895000194,02977362000162,4
07227808000155,07070151000165,4
09095183000140,33000118001221,4
06224321000156,10779833000156,4
08973901000171,02368789000163,4
24504409000103,07148726000115,4
06948769000112,11392682000141,4
19125796000137,06948769000112,4
04654716000163,07070151000165,4
04196645000100,00000000009903,4
14577777000128,04485495000147,4
02956500000127,07694009000270,4
08778201000126,11896538000142,4
04453838000191,07190090000170,4
07526979000185,08649539000188,4
03330023000152,08228010000190,4
09095183000140,33066408080801,4
15348142000111,05393059000100,4
09185570000178,24506743000104,4
41116138000138,03372105000160,4
10365996000192,02629120000188,4
05015356000112,10291098000137,4
33000118001221,09095183000140,4
07766436000135,17809782000107,4
13433905000105,41205907000174,4
11079047000109,02368789000163,4
14466615000112,10291098000137,4
02304035000140,07526979000185,4
05449553000140,12071175000179,4
07526979000185,08370039000102,4
02483940000104,04203988000147,4
02368789000163,09185570000178,4
33530486003225,04196645000100,4
34028316366353,00000000000191,4
00301402000126,08370039000102,4
13199098000108,18658386000199,4
12209627000136,03086586000147,4
07070151000165,07227808000155,4
04453838000191,09185570000178,4
05393059000100,17892706000108,4
33000118001221,01518579000141,4
05449553000140,07070151000165,4
13199098000108,15348142000111,4
00821449000110,17318988000134,4
03965517000103,12710916000114,4
35500289000192,38046843001416,4
00821449000110,17020542000129,4
04196645000100,33066408080801,4
33530486003225,00000000000191,4
67729178000220,40787152000109,4
40787152000109,08674752000140,4
00000000000191,09123654000187,4
32040529000125,11574829000114,4
09095183000140,04196645000100,4
07526979000185,14577777000128,4
00000000000191,01518579000141,4
09123654000187,00000000000191,4
07766436000135,11456156000106,4
03330023000152,07070151000165,4
10365996000192,05253747000175,4
07526979000185,02368789000163,4
01722296000117,09329259000155,4
33066408080801,33530486003225,4
02088608000145,09329259000155,4
24506743000104,09185570000178,4
11622715000100,35503556000185,4
24506743000104,08370039000102,4
12681342000101,35499581000132,4
63478895000194,01722296000117,4
02368789000163,07694009000270,4
09095183000140,34028316366353,4
35503556000185,03086586000147,4
07190090000170,15348142000111,4
00000000000191,33000118001221,4
34028316366353,33066408080801,4
33066408080801,34028316366353,4
17020542000129,00821449000110,4
14466615000112,09004901000126,4
13493236000159,09047935000106,4
10291098000137,14466615000112,4
40869463000109,41152398000169,4
09053134000145,06696359000121,4
00085822000112,05008240000156,4
07227808000155,09185570000178,4
17318988000134,00821449000110,4
00000000009903,33000118001221,4
00301402000126,07526979000185,4
08649539000188,07526979000185,4
00085822000112,40787152000109,4
54858014000170,10779833000156,4
34028316366353,09095183000140,4
07694009000270,08649539000188,4
09123654000187,00000000009903,4
13441051000109,01884446000199,4
09095183000140,09123654000187,4
05393059000100,07358710000137,4
06207441000145,10779833000156,4
06224321000156,02977362000162,4
04196645000100,09095183000140,4
19835542000102,18653044000186,4
02934130000127,24116337000127,4
04196645000100,34028316366353,4
04679119000193,10779833000156,4
13199098000108,05393059000100,4
09123654000187,33000118001221,4
18658386000199,13199098000108,4
00002776241429,00039653668404,4
14564472000181,10309248000192,4
02956500000127,08649539000188,4
01518579000141,33530486003225,4
01518579000141,34028316366353,4
05301712000164,09004901000126,4
02368789000163,07526979000185,4
04196645000100,09123654000187,4
03330023000152,10575163000156,4
05449553000140,06027925001001,4
04654716000163,05613388000110,4
09221904000111,01275877000158,4
10779833000156,05896491000114,4
07358710000137,05393059000100,4
16515252000193,12889652000108,4
15348142000111,07190090000170,4
07070151000165,09183224000150,4
08370039000102,24506743000104,4
01571702000198,00085822000112,4
10291098000137,05015356000112,4
07936090000176,04064641000160,4
10592570000171,03965517000103,4
40787152000109,05932624000160,4
02629120000188,10365996000192,4
40787152000109,06948769000112,4
04828511000157,07766436000135,4
09123654000187,34028316366353,4
17892706000108,05393059000100,4
35422021000180,35500289000192,4
70097282000172,12889652000108,4
33530486003225,00000000009903,4
03330023000152,07227808000155,4
07227808000155,15155318000119,4
06628333000146,05008240000156,4
07190090000170,04453838000191,4
08778201000126,20812326000120,4
00085822000112,05782733000149,4
05449553000140,10655938000101,4
33530486003225,01518579000141,4
05301712000164,04379540000189,4
17318988000134,15155318000119,4
10779833000156,05000571000140,4
06948769000112,13441051000109,4
11896538000142,06224321000156,4
38046843001416,35500289000192,4
07148726000115,24504409000103,4
13603534000154,07190090000170,4
40787152000109,67729178000220,4
08370039000102,02368789000163,4
17318988000134,09268680000101,4
06696359000121,09053134000145,4
00085822000112,01571702000198,4
40787152000109,09478023000180,4
02304035000140,24506743000104,4
06234797000178,06224321000156,4
09095183000140,01518579000141,4
03372105000160,41116138000138,4
04034176000115,03100722000106,4
01722296000117,63478895000194,4
67729178000491,08778201000126,4
00821449000110,04408503000151,4
08160290000142,10831701000126,4
09047935000106,13493236000159,4
40787152000109,15218561000139,4
03817043000152,08160290000142,4
15348142000111,13199098000108,4
33000118001221,33530486003225,4
10779833000156,70097530000185,4
24506743000104,02304035000140,4
01945326000154,09221904000111,4
09185570000178,07227808000155,4
33066408080801,09123654000187,4
05008240000156,06628333000146,4
05253747000175,04826424000160,4
07526979000185,04485495000147,4
41152398000169,36377091000126,4
02927946000123,04408503000151,4
24504409000103,05765913000112,4
06628333000146,63478895000194,4
33000118001221,34028316366353,4
08649539000188,07694009000270,4
35423169000139,10575163000156,4
02304035000140,02368789000163,4
09123654000187,09095183000140,4
14577777000128,07526979000185,4
18604768000130,04654716000163,4
17809782000107,07766436000135,4
34028316366353,33530486003225,4
04196645000100,01518579000141,4
02368789000163,08973901000171,4
09478023000180,40787152000109,4
05932624000160,40787152000109,4
02304035000140,04453838000191,4
15155318000119,17318988000134,4
09329259000155,01722296000117,4
00039653668404,00002776241429,4
08649539000188,11079047000109,4
09685217000157,09185570000178,4
09123654000187,33530486003225,4
11079047000109,08649539000188,4
33530486003225,09095183000140,4
35503556000185,11622715000100,4
00000000000191,33530486003225,4
11456156000106,07766436000135,4
18653044000186,19835542000102,4
05138559000104,03330023000152,4
01518579000141,04196645000100,4
41152398000169,40869463000109,4
12710916000114,03965517000103,4
35500289000192,35422021000180,4
15155318000119,07227808000155,4
19518563000102,09053134000145,4
04826424000160,07190090000170,4
11574829000114,32040529000125,4
33000118001221,00000000000191,4
01823326000181,08370039000102,4
07070151000165,04654716000163,4
13433905000105,07354656000151,4
10779833000156,04679119000193,4
10806118000165,08674752000140,4
11896538000142,10831701000126,4
02368789000163,02304035000140,4
04453838000191,04654716000163,4
04196645000100,33530486003225,4
00000000009903,09095183000140,4
04379540000189,05301712000164,4
24116337000127,02934130000127,4
67729178000491,01722296000117,4
04453838000191,02304035000140,4
33530486003225,34028316366353,4
07070151000165,41205907000174,4
04203988000147,02483940000104,4
70097530000185,10779833000156,4
10575163000156,35423169000139,4
04064641000160,07936090000176,4
05896491000114,10779833000156,4
01518579000141,33066408080801,4
07227808000155,10655938000101,4
33530486003225,09123654000187,4
04064641000160,06224321000156,4
07694009000270,07526979000185,4
01518579000141,09095183000140,4
11079047000109,24506743000104,4
00995371000150,40787152000109,4
08370039000102,00301402000126,4
04408503000151,00821449000110,4
09389295000104,02483940000104,4
